Threshold,Model_NetBenefit,TreatAll_NetBenefit,TreatNone_NetBenefit,Model
0.19,0.2815764482431149,0.24026590693257363,0.0,LGBM top25
0.2,0.2824519230769231,0.23076923076923078,0.0,LGBM top25
0.21000000000000002,0.28255842259006814,0.22103213242453748,0.0,LGBM top25
0.22000000000000003,0.2720660749506903,0.2110453648915187,0.0,LGBM top25
0.22999999999999998,0.2714160839160839,0.20079920079920083,0.0,LGBM top25
0.24,0.2725202429149797,0.19028340080971662,0.0,LGBM top25
0.25,0.2724358974358974,0.17948717948717952,0.0,LGBM top25
0.26,0.2692307692307692,0.1683991683991684,0.0,LGBM top25
0.27,0.26646469968387776,0.15700737618545837,0.0,LGBM top25
0.28,0.265224358974359,0.14529914529914528,0.0,LGBM top25
0.29,0.2699756229685807,0.133261105092091,0.0,LGBM top25
0.3,0.26717032967032966,0.1208791208791209,0.0,LGBM top25
0.31,0.2664437012263099,0.10813823857302113,0.0,LGBM top25
0.32,0.2680995475113122,0.09502262443438914,0.0,LGBM top25
0.33,0.2629161882893226,0.08151549942594716,0.0,LGBM top25
0.33999999999999997,0.2626748251748252,0.0675990675990677,0.0,LGBM top25
0.35,0.26257396449704146,0.05325443786982248,0.0,LGBM top25
0.36,0.2530048076923077,0.03846153846153849,0.0,LGBM top25
0.37,0.2483974358974359,0.023199023199023172,0.0,LGBM top25
0.38,0.23619727047146402,0.00744416873449133,0.0,LGBM top25
0.39,0.22872005044136193,-0.008827238335435084,0.0,LGBM top25
0.4,0.22916666666666669,-0.02564102564102566,0.0,LGBM top25
0.41,0.2264504563233377,-0.04302477183833103,0.0,LGBM top25
0.42,0.21402519893899202,-0.061007957559681636,0.0,LGBM top25
0.43,0.20630904183535764,-0.07962213225371112,0.0,LGBM top25
0.44,0.198489010989011,-0.09890109890109888,0.0,LGBM top25
0.45,0.18575174825174826,-0.1188811188811188,0.0,LGBM top25
0.46,0.17628205128205127,-0.13960113960113957,0.0,LGBM top25
0.47,0.16790638606676345,-0.16110304789550073,0.0,LGBM top25
0.48,0.16494082840236687,-0.1834319526627219,0.0,LGBM top25
0.49,0.15705128205128205,-0.2066365007541478,0.0,LGBM top25
0.5,0.15865384615384615,-0.23076923076923078,0.0,LGBM top25
0.51,0.16552197802197802,-0.2558869701726845,0.0,LGBM top25
0.52,0.16786858974358973,-0.2820512820512821,0.0,LGBM top25
0.53,0.16029050736497547,-0.30932896890343714,0.0,LGBM top25
0.54,0.15259197324414714,-0.3377926421404683,0.0,LGBM top25
0.55,0.1517094017094017,-0.3675213675213677,0.0,LGBM top25
0.56,0.14423076923076922,-0.3986013986013987,0.0,LGBM top25
0.5700000000000001,0.13662790697674415,-0.4311270125223616,0.0,LGBM top25
0.5800000000000001,0.11927655677655677,-0.4652014652014655,0.0,LGBM top25
0.5900000000000001,0.11831613508442775,-0.5009380863039403,0.0,LGBM top25
0.6000000000000001,0.11057692307692303,-0.538461538461539,0.0,LGBM top25
