Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
6-Month,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.85,0.2899999999999998,208,80
6-Month,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.84375,0.2899999999999998,208,80
6-Month,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.8095238095238095,0.2899999999999998,208,80
6-Month,Train_Fit,Train Fit,SVM,auc,AUC,0.9058448106955568,0.3099999999999999,795,259
6-Month,Train_Fit,Train Fit,SVM,acc,Accuracy,0.8213836477987422,0.3099999999999999,795,259
6-Month,Train_Fit,Train Fit,SVM,recall,Sensitivity,0.8223938223938224,0.3099999999999999,795,259
6-Month,Train_Fit,Train Fit,SVM,specificity,Specificity,0.8208955223880597,0.3099999999999999,795,259
6-Month,Train_Fit,Train Fit,SVM,f1,F1,0.75,0.3099999999999999,795,259
6-Month,Validation_OOF,Validation OOF,SVM,auc,AUC,0.8810148101192877,0.3099999999999999,795,259
6-Month,Validation_OOF,Validation OOF,SVM,acc,Accuracy,0.8138364779874214,0.3099999999999999,795,259
6-Month,Validation_OOF,Validation OOF,SVM,recall,Sensitivity,0.7876447876447876,0.3099999999999999,795,259
6-Month,Validation_OOF,Validation OOF,SVM,specificity,Specificity,0.8264925373134329,0.3099999999999999,795,259
6-Month,Validation_OOF,Validation OOF,SVM,f1,F1,0.7338129496402878,0.3099999999999999,795,259
6-Month,Test_Temporal,Temporal Test,SVM,auc,AUC,0.8634765624999999,0.3099999999999999,208,80
6-Month,Test_Temporal,Temporal Test,SVM,acc,Accuracy,0.8125,0.3099999999999999,208,80
6-Month,Test_Temporal,Temporal Test,SVM,recall,Sensitivity,0.8125,0.3099999999999999,208,80
6-Month,Test_Temporal,Temporal Test,SVM,specificity,Specificity,0.8125,0.3099999999999999,208,80
6-Month,Test_Temporal,Temporal Test,SVM,f1,F1,0.7692307692307693,0.3099999999999999,208,80
6-Month,Train_Fit,Train Fit,Random Forest,auc,AUC,0.9743920359592002,0.4149999999999998,795,259
6-Month,Train_Fit,Train Fit,Random Forest,acc,Accuracy,0.8880503144654088,0.4149999999999998,795,259
6-Month,Train_Fit,Train Fit,Random Forest,recall,Sensitivity,0.945945945945946,0.4149999999999998,795,259
6-Month,Train_Fit,Train Fit,Random Forest,specificity,Specificity,0.8600746268656716,0.4149999999999998,795,259
6-Month,Train_Fit,Train Fit,Random Forest,f1,F1,0.846286701208981,0.4149999999999998,795,259
6-Month,Validation_OOF,Validation OOF,Random Forest,auc,AUC,0.9159223189073936,0.4149999999999998,795,259
6-Month,Validation_OOF,Validation OOF,Random Forest,acc,Accuracy,0.8427672955974843,0.4149999999999998,795,259
6-Month,Validation_OOF,Validation OOF,Random Forest,recall,Sensitivity,0.8996138996138996,0.4149999999999998,795,259
6-Month,Validation_OOF,Validation OOF,Random Forest,specificity,Specificity,0.8152985074626866,0.4149999999999998,795,259
6-Month,Validation_OOF,Validation OOF,Random Forest,f1,F1,0.7884940778341794,0.4149999999999998,795,259
6-Month,Test_Temporal,Temporal Test,Random Forest,auc,AUC,0.910546875,0.4149999999999998,208,80
6-Month,Test_Temporal,Temporal Test,Random Forest,acc,Accuracy,0.8365384615384616,0.4149999999999998,208,80
6-Month,Test_Temporal,Temporal Test,Random Forest,recall,Sensitivity,0.8875,0.4149999999999998,208,80
6-Month,Test_Temporal,Temporal Test,Random Forest,specificity,Specificity,0.8046875,0.4149999999999998,208,80
6-Month,Test_Temporal,Temporal Test,Random Forest,f1,F1,0.8068181818181818,0.4149999999999998,208,80
6-Month,Train_Fit,Train Fit,Balanced RF,auc,AUC,0.9683772258399124,0.5249999999999998,795,259
6-Month,Train_Fit,Train Fit,Balanced RF,acc,Accuracy,0.8905660377358491,0.5249999999999998,795,259
6-Month,Train_Fit,Train Fit,Balanced RF,recall,Sensitivity,0.942084942084942,0.5249999999999998,795,259
6-Month,Train_Fit,Train Fit,Balanced RF,specificity,Specificity,0.8656716417910447,0.5249999999999998,795,259
6-Month,Train_Fit,Train Fit,Balanced RF,f1,F1,0.8486956521739131,0.5249999999999998,795,259
6-Month,Validation_OOF,Validation OOF,Balanced RF,auc,AUC,0.9121045352388636,0.5249999999999998,795,259
6-Month,Validation_OOF,Validation OOF,Balanced RF,acc,Accuracy,0.8465408805031447,0.5249999999999998,795,259
6-Month,Validation_OOF,Validation OOF,Balanced RF,recall,Sensitivity,0.8803088803088803,0.5249999999999998,795,259
6-Month,Validation_OOF,Validation OOF,Balanced RF,specificity,Specificity,0.8302238805970149,0.5249999999999998,795,259
6-Month,Validation_OOF,Validation OOF,Balanced RF,f1,F1,0.7889273356401384,0.5249999999999998,795,259
6-Month,Test_Temporal,Temporal Test,Balanced RF,auc,AUC,0.905859375,0.5249999999999998,208,80
